share_bonus,avg_delay_cost,max_delay_cost,future_wait_cost,total_wait_cost,route_cost,activation_cost,workload_cost,imbalance_cost,new_wait_viol_cost,new_ride_viol_cost,exist_wait_viol_cost,exist_ride_viol_cost
7.0,0.3805387341971509,8.192153305633111,31.842802481580158,3.0326478553885865,3.171156118309591,0.0,3.966225800387453,5.666036857696361,0.0,60.36202762244393,0.0,162.76522266441643
0.0,1.8667751417446314,80.37504082511609,75.93268668160607,7.231684445867245,15.556459514538595,0.0,2.6664531269678595,3.809218752811228,0.0,0.0,0.0,1656.4664219428862
7.0,0.78188593306641,33.66453322924821,75.93268668160607,7.231684445867245,6.51571610888675,0.0,4.541408572856181,6.487726532651687,0.0,0.2924755313010377,0.0,511.5840356957612
7.0,0.0,0.0,102.67697567147582,9.778759587759602,0.0,0.0,4.394264448211279,6.2775206403018275,0.0,0.0,0.0,91.9065676822866
0.0,14.53559683489616,125.16763941160582,23.880566897691846,2.2743397045420806,24.225994724826933,0.0,0.0,0.0,0.0,0.0,0.0,1000.2900088202073
0.0,5.561031374901499,47.886659061651805,23.880566897691846,2.2743397045420806,9.268385624835831,0.0,2.5322456258679362,0.0,0.0,0.0,0.0,2.931435403499333
7.0,0.0,0.0,23.880566897691846,2.2743397045420806,0.0,0.0,1.7677174890851475,0.0,0.0,0.0,0.0,0.0
0.0,9.893341957626344,127.78900028600695,29.496882344637257,2.809226889965453,49.466709788131716,0.0,1.9263359221909333,0.8244596064667462,0.0,0.0,0.0,4597.700749102909
0.0,3.9734565390520586,85.72636642143493,29.496882344637257,2.809226889965453,19.86728269526029,0.0,1.9263359221909333,0.8244596064667462,0.0,0.0,0.0,1654.0129180741353
7.0,1.3100330970897993,16.92126083740991,29.496882344637257,2.809226889965453,6.550165485448997,0.0,3.386165252675948,2.909930078588195,0.0,0.0,0.0,196.99029770750002
0.0,5.294773308088952,136.78164379229793,73.60384572452334,7.009890069002222,26.47386654044476,0.0,1.9263359221909333,0.8244596064667462,0.0,0.0,0.0,3652.1342915257073
0.0,2.8356736352326197,73.25490224350935,73.60384572452334,7.009890069002222,14.178368176163099,0.0,4.658215219910451,4.727144317494629,0.0,0.0,0.0,1284.641371269203
7.0,0.0,0.0,93.65915952181626,8.919919954458692,0.0,0.0,4.790069589067373,4.915507702004516,0.0,0.0,0.0,56.02758621384862
0.0,5.988741025795704,103.1394287775927,31.215262131785654,2.97288210778911,19.962470085985682,0.0,1.349214197664211,0.0,0.0,0.0,0.0,541.364923256188
7.0,2.667240738333976,45.93581271575181,31.215262131785654,2.97288210778911,8.890802461113253,0.0,3.9559669362879553,2.8994728772814597,0.0,0.0,0.0,1.263184399349387
7.0,0.0,0.0,83.5668939817545,7.958751807786143,0.0,0.0,4.45366073773198,3.610464022201495,0.0,0.0,0.0,0.0
0.0,19.922265928830065,171.5528454982589,37.622873973524364,3.583130854621368,66.40755309610022,0.0,0.7269659976516665,0.0,0.0,0.0,0.0,14188.049090377388
0.0,16.359953125371636,199.3526880585933,37.622873973524364,3.583130854621368,54.53317708457212,0.0,0.7269659976516665,0.0,0.0,0.0,0.0,13348.61264303438
0.0,9.569271508455017,82.40206021169598,37.622873973524364,3.583130854621368,31.897571694850058,0.0,3.8490358367467175,1.0708720254519108,0.0,2.694800131546284,0.0,4997.680271000666
0.0,9.440981892391294,162.59468814673895,37.622873973524364,3.583130854621368,31.46993964130431,0.0,0.7269659976516665,0.0,0.0,0.0,0.0,8439.069775564352
0.0,4.264484682203749,73.44390286017568,37.622873973524364,3.583130854621368,14.214948940679164,0.0,3.646754864293033,0.7818992076609335,0.0,4.7713944118171916e-05,0.0,3289.5304492442356
7.0,0.0,0.0,57.67806178563826,5.4931487414893585,0.0,0.0,3.1185042106139864,0.027255416690866244,0.0,0.0,0.0,836.6284617667533
0.0,24.75477931482822,213.1661552110208,43.288814451276316,4.122744233454887,41.2579655247137,0.0,3.09942541893038,3.3892277446838763,0.0,0.0,11559.50429994561,6272.727236774621
0.0,18.603202309875215,178.28367820699276,43.288814451276316,4.122744233454887,24.00297482408855,0.0,3.09942541893038,3.3892277446838763,0.0,20.970103536379035,7132.571520816788,1997.2469874013846
0.0,16.28873873828703,172.76167755683323,43.288814451276316,4.122744233454887,33.43774404325804,0.0,3.09942541893038,3.3892277446838763,0.0,168.1138595746337,2359.833919677382,1997.2469874013846
0.0,14.40178489445313,124.01536992445752,43.288814451276316,4.122744233454887,24.00297482408855,0.0,7.193628797084975,9.238089713476155,0.0,736.7815483497251,2359.833919677382,1997.2469874013846
